	logFC	logCPM	LR	PValue	FDR
HSH2D_NM_032855	8.026206537	3.336863161	60.48122142	7.43E-15	1.79E-10
CALR3_NM_145046	10.19589083	3.322450823	54.09395936	1.91E-13	2.31E-09
CIB3_NM_054113	11.21248626	2.736691835	40.98141315	1.54E-10	1.24E-06
FSCN2_NM_001077182	6.591859819	2.776378357	39.48911864	3.30E-10	1.63E-06
FSCN2_NM_012418	6.602358095	2.77551939	39.440348	3.38E-10	1.63E-06
COL15A1_NM_001855	3.056435146	5.899865644	37.57606622	8.79E-10	3.54E-06
VAT1L_NM_020927	-6.920985336	1.773602398	37.10778536	1.12E-09	3.86E-06
EMCN_NM_016242	-5.616055451	-0.137944929	35.90669412	2.07E-09	6.25E-06
EMCN_NM_001159694	-5.543462761	-0.206369078	34.66889079	3.91E-09	1.05E-05
C19orf44_NM_032207	3.117484255	3.716118207	31.95566965	1.58E-08	3.81E-05
NPTX1_NM_002522	5.052242294	3.456415256	28.31282298	1.03E-07	0.000226668
EPS15L1_NM_021235	2.423863106	5.345867127	28.07734041	1.17E-07	0.00023466
ITIH5_NM_030569	3.168574476	4.612797917	27.79653039	1.35E-07	0.00025044
ITIH5_NM_032817	3.172125754	4.312050224	27.51770563	1.56E-07	0.000268607
FTCD_NM_006657	7.378566678	2.035059492	27.23102304	1.81E-07	0.000290763
FTCD_NM_206965	7.300811855	1.935625107	26.27479766	2.96E-07	0.00042731
ITIH5_NM_001001851	3.127530436	3.837887892	26.24521843	3.01E-07	0.00042731
GFPT2_NM_005110	-2.204051275	3.980785171	25.3784816	4.71E-07	0.000629165
SLC6A7_NM_014228	10.95674511	0.027328203	25.28386303	4.95E-07	0.000629165
PLEKHA6_NM_014935	-5.465902702	-0.342626595	24.87342835	6.12E-07	0.000739482
CHERP_NM_006387	2.107395496	5.051637786	23.9829291	9.72E-07	0.001118097
LYNX1_NM_177477	1.833915341	3.864162011	23.25418626	1.42E-06	0.001524816
LYNX1_NM_177476	1.833121672	3.862847008	23.21089581	1.45E-06	0.001524816
LYNX1_NM_177457	1.827548324	3.856542528	22.96210356	1.65E-06	0.001663144
CAMK2A_NM_015981	5.493911088	0.643696354	22.71624709	1.88E-06	0.001814493
CAMK2A_NM_171825	5.446580406	0.571898563	22.40040317	2.21E-06	0.002056473
MAMSTR_NM_001130915	4.163035581	2.570856755	22.08412995	2.61E-06	0.0023349
GPR133_NM_198827	-3.044858453	3.666876828	21.84221369	2.96E-06	0.002488417
ITGA8_NM_003638	3.139641155	3.046970146	21.82478039	2.99E-06	0.002488417
NR4A3_NM_173200	-2.591956818	2.052835011	20.70037308	5.37E-06	0.004324728
NR4A3_NM_006981	-2.60028871	2.036608821	20.4844882	6.01E-06	0.004684819
PTGS1_NM_000962	2.668366244	5.34385054	20.34549612	6.46E-06	0.004750744
PTGS1_NM_080591	2.667790358	5.31289418	20.33809768	6.49E-06	0.004750744
MAMSTR_NM_182574	3.828100836	2.322197532	20.12439712	7.26E-06	0.005155965
SYT14_NM_001256006	-4.612899065	-0.588286675	19.84510944	8.40E-06	0.005796354
RSPO4_NM_001029871	5.809260169	2.306267259	19.61827919	9.46E-06	0.006097726
OLFM2_NM_058164	2.736299319	5.863353218	19.60601187	9.52E-06	0.006097726
SYT14_NM_001146264	-4.57898595	-0.618667713	19.59108159	9.59E-06	0.006097726
RSPO4_NM_001040007	5.786783654	2.210908347	19.44921662	1.03E-05	0.006140395
SYT14_NM_153262	-4.561398443	-0.632300055	19.44675539	1.03E-05	0.006140395
IGFBP2_NM_000597	3.950753926	4.161836448	19.43261049	1.04E-05	0.006140395
SYT14_NM_001146261	-4.523220494	-0.587921565	19.28083093	1.13E-05	0.006490075
CD4_NM_001195014	5.139769055	3.355027506	19.18492253	1.19E-05	0.006560214
SYT14_NM_001146262	-4.505983417	-0.601265198	19.13015975	1.22E-05	0.006560214
CD4_NM_001195016	5.14375128	3.354159196	19.0637973	1.26E-05	0.006560214
CD4_NM_001195015	5.143823587	3.354228047	19.06343042	1.26E-05	0.006560214
CD4_NM_001195017	5.139715024	3.34578658	19.0456163	1.28E-05	0.006560214
MEIS2_NM_170674	-1.465198812	4.593360064	18.83720164	1.42E-05	0.007031135
MEIS2_NM_170677	-1.464526472	4.5960359	18.83385045	1.43E-05	0.007031135
MEOX2_NM_005924	5.444284805	2.154821832	18.75191732	1.49E-05	0.007192977
ADAMTS7_NM_014272	2.629090045	3.991952626	18.66011051	1.56E-05	0.007387951
CD4_NM_000616	5.09336517	3.530337139	18.62613637	1.59E-05	0.007387951
MEIS2_NM_170675	-1.460411105	4.549991235	18.4894293	1.71E-05	0.00765255
MEIS2_NM_170676	-1.46109739	4.547228536	18.48712163	1.71E-05	0.00765255
CDH2_NM_001792	-2.815531753	5.463150712	18.38498815	1.80E-05	0.007927085
MEIS2_NM_172315	-1.459085754	4.493430065	18.30429562	1.88E-05	0.008046093
MEIS2_NM_172316	-1.458247575	4.505435877	18.28854925	1.90E-05	0.008046093
MEIS2_NM_002399	-1.455624682	4.49904939	18.20184897	1.99E-05	0.008275608
MEIS2_NM_001220482	-1.451386447	4.48543536	18.11210086	2.08E-05	0.008527922
ABI3BP_NM_015429	2.31664472	5.420732505	18.06846372	2.13E-05	0.008580196
TSTD1_NM_001113205	-8.110152409	-0.874605662	17.71511518	2.57E-05	0.010161397
SFRP1_NM_003012	-4.114514846	3.909584188	17.58927848	2.74E-05	0.010681324
TSTD1_NM_001113207	-7.966235474	-0.649802062	17.52721689	2.83E-05	0.010860524
KRT33B_NM_002279	3.49437818	2.186519462	17.13398619	3.48E-05	0.013148513
ATF5_NM_001193646	-1.955091456	5.253189455	17.04367658	3.65E-05	0.013576728
COL5A3_NM_015719	2.151559568	5.872646722	16.8954486	3.95E-05	0.014456796
TSTD1_NM_001113206	-7.708726722	-1.038892246	16.69625628	4.39E-05	0.015817173
RPL9_NM_000661	-2.192238765	5.334841307	16.59311304	4.63E-05	0.016455475
ATF5_NM_012068	-1.894124746	5.284846713	16.55820043	4.72E-05	0.016518303
