	logFC	logCPM	LR	PValue	FDR
COL15A1_NM_001855	3.725255101	5.899865644	52.55761273	4.18E-13	1.01E-08
SLC26A3_NM_000111	-10.14680096	0.31408058	46.52174446	9.06E-12	1.09E-07
ERAP2_NM_001130140	-4.088253481	2.175931773	30.57777121	3.21E-08	0.000213921
ERAP2_NM_022350	-4.082780063	2.182709077	30.38529047	3.54E-08	0.000213921
FTCD_NM_006657	7.49124241	2.035059492	27.79731147	1.35E-07	0.00065088
FTCD_NM_206965	7.413364224	1.935625107	26.82814407	2.22E-07	0.000895356
F8_NM_000132	-2.840417291	4.381407717	24.15794326	8.87E-07	0.003062867
GOLGA8B_NR_027410	2.198931409	5.052697106	23.84192154	1.05E-06	0.00315805
GOLGA8A_NR_027409	2.041492693	5.210875925	22.74226139	1.85E-06	0.004972485
GOLGA8B_NM_001023567	2.176148035	4.826040312	22.45485933	2.15E-06	0.005197365
SLC6A7_NM_014228	9.840471568	0.027328203	21.95450962	2.79E-06	0.00592636
GOLGA8A_NM_181077	1.978222782	4.289204506	21.79138765	3.04E-06	0.00592636
LOC653075_NR_033933	2.165785438	2.782114483	21.67087715	3.24E-06	0.00592636
ITIH5_NM_030569	2.739546249	4.612797917	21.55297821	3.44E-06	0.00592636
ITIH5_NM_032817	2.748933807	4.312050224	21.42482917	3.68E-06	0.00592636
SAMD14_NM_174920	2.840416843	2.931290656	20.90538245	4.83E-06	0.007285703
ITIH5_NM_001001851	2.706860701	3.837887892	20.37229111	6.37E-06	0.00884454
DCHS1_NM_003737	2.302374581	3.821261462	20.30870135	6.59E-06	0.00884454
MALAT1_NR_002819	2.730746737	5.134703511	18.98195946	1.32E-05	0.016778398
SNORD36C_NR_000016	3.496889271	2.285513358	18.27609044	1.91E-05	0.023081833
LOC100507404_NR_039991	-3.406041909	1.784391286	18.13071318	2.06E-05	0.023726353
SLC26A4_NM_000441	-3.842925019	0.414139417	18.00322165	2.21E-05	0.024216356
LOXL4_NM_032211	2.322509774	6.09478991	17.53048471	2.83E-05	0.029697307
HLA-DPA1_NM_033554_7	3.21238826	0.598625575	16.74982128	4.26E-05	0.042927036
