GeneId	logFC	logCPM	LR	PValue	FDR	RefSeq	Gene_Symbol
CALR3_NM_145046	12.43883295	3.322450823	67.05126179	2.65E-16	6.39E-12	NM_145046	CALR3
HSH2D_NM_032855	7.610411518	3.336863161	56.41099905	5.88E-14	7.10E-10	NM_032855	HSH2D
CIB3_NM_054113	12.30106051	2.736691835	45.0384344	1.93E-11	1.56E-07	NM_054113	CIB3
SLC26A3_NM_000111	9.361527451	0.31408058	41.64015534	1.10E-10	6.63E-07	NM_000111	SLC26A3
FSCN2_NM_012418	6.415985568	2.77551939	37.89570976	7.46E-10	3.06E-06	NM_012418	FSCN2
FSCN2_NM_001077182	6.396249701	2.776378357	37.86258317	7.59E-10	3.06E-06	NM_001077182	FSCN2
C11orf87_NM_207645	-3.394550851	3.793829066	32.24790756	1.36E-08	4.68E-05	NM_207645	C11orf87
KRT33B_NM_002279	5.13291274	2.186519462	31.61875346	1.88E-08	5.67E-05	NM_002279	KRT33B
C19orf44_NM_032207	3.04155469	3.716118207	30.62036347	3.14E-08	8.42E-05	NM_032207	C19orf44
KRT33A_NM_004138	5.086511552	1.135202965	26.42379126	2.74E-07	0.000662275	NM_004138	KRT33A
EPS15L1_NM_021235	2.302651203	5.345867127	25.57432749	4.26E-07	0.000883697	NM_021235	EPS15L1
CD4_NM_001195014	6.174941575	3.355027506	25.09761283	5.45E-07	0.000883697	NM_001195014	CD4
CD4_NM_001195016	6.20592269	3.354159196	25.08792421	5.48E-07	0.000883697	NM_001195016	CD4
CD4_NM_001195015	6.20599498	3.354228047	25.08732609	5.48E-07	0.000883697	NM_001195015	CD4
CD4_NM_001195017	6.1997868	3.34578658	25.05836479	5.56E-07	0.000883697	NM_001195017	CD4
CD4_NM_000616	6.220019848	3.530337139	24.96014251	5.85E-07	0.000883697	NM_000616	CD4
KRT34_NM_021013	4.104666102	3.430345093	24.68514181	6.75E-07	0.000959251	NM_021013	KRT34
F8_NM_000132	2.848212318	4.381407717	24.27514539	8.35E-07	0.001120793	NM_000132	F8
TBX2_NM_005994	4.024194203	2.604341624	23.51753342	1.24E-06	0.001573838	NM_005994	TBX2
VAT1L_NM_020927	-5.010684237	1.773602398	23.19201261	1.47E-06	0.001770842	NM_020927	VAT1L
GDF6_NM_001001557	-3.502124708	1.927096203	22.41600804	2.20E-06	0.002454247	NM_001001557	GDF6
EMCN_NM_016242	-4.147556134	-0.137944929	22.38163251	2.24E-06	0.002454247	NM_016242	EMCN
SAMD14_NM_174920	-2.92589579	2.931290656	22.02344598	2.69E-06	0.002829008	NM_174920	SAMD14
ADAMTS7_NM_014272	2.853723527	3.991952626	21.57913362	3.40E-06	0.003417609	NM_014272	ADAMTS7
EMCN_NM_001159694	-4.083622324	-0.206369078	21.48279287	3.57E-06	0.003449936	NM_001159694	EMCN
CHERP_NM_006387	1.976248807	5.051637786	21.28326562	3.96E-06	0.003681075	NM_006387	CHERP
HAPLN1_NM_001884	-4.683493279	5.062232581	19.67901106	9.16E-06	0.008196002	NM_001884	HAPLN1
MAMSTR_NM_001130915	3.863408686	2.570856755	19.56686167	9.71E-06	0.008381064	NM_001130915	MAMSTR
LOC100507404_NR_039991	3.461317928	1.784391286	18.63193915	1.59E-05	0.013207101	NR_039991	LOC100507404
MAMSTR_NM_182574	3.62904624	2.322197532	18.42470551	1.77E-05	0.014233205	NM_182574	MAMSTR
AK8_NM_152572	-3.700448756	1.876889967	18.31975293	1.87E-05	0.014554076	NM_152572	AK8
GFPT2_NM_005110	-1.837378876	3.980785171	18.08291715	2.11E-05	0.015966203	NM_005110	GFPT2
MYH4_NM_017533	-5.760376618	2.014205174	17.87215504	2.36E-05	0.017295127	NM_017533	MYH4
RPL9_NM_000661	-2.277534273	5.334841307	17.79812128	2.46E-05	0.017355549	NM_000661	RPL9
CDH2_NM_001792	-2.760422944	5.463150712	17.75356092	2.51E-05	0.017355549	NM_001792	CDH2
KRT31_NM_002277	4.300765338	2.084881963	17.2565135	3.27E-05	0.021915069	NM_002277	KRT31
MYH1_NM_005963	-5.460319468	2.67708193	16.87981383	3.98E-05	0.024982288	NM_005963	MYH1
COL4A5_NM_000495	3.772010855	1.385350339	16.8561056	4.03E-05	0.024982288	NM_000495	COL4A5
COL4A5_NM_033380	3.772010821	1.385350337	16.85576171	4.03E-05	0.024982288	NM_033380	COL4A5
RPL9_NM_001024921	-2.133947301	5.380861766	16.63886196	4.52E-05	0.027307619	NM_001024921	RPL9
ITGA4_NM_000885	-1.277134665	5.462966737	16.40568696	5.11E-05	0.029383932	NM_000885	ITGA4
MYH2_NM_017534	-4.608795376	1.886805356	16.35999745	5.24E-05	0.029383932	NM_017534	MYH2
MYH2_NM_001100112	-4.603332259	1.887205742	16.33631162	5.30E-05	0.029383932	NM_001100112	MYH2
LDHC_NM_002301	1.577383189	4.563132832	16.2497233	5.55E-05	0.029383932	NM_002301	LDHC
