gene_id	logFC	logCPM	LR	PValue	FDR	gene_symbol	refseq
CALR3_NM_145046	12.43883295	3.322450823	67.05126179	2.65e-16	6.39e-12	CALR3	NM_145046
HSH2D_NM_032855	7.610411518	3.336863161	56.41099905	5.88e-14	7.1e-10	HSH2D	NM_032855
CIB3_NM_054113	12.30106051	2.736691835	45.0384344	1.93e-11	1.56e-07	CIB3	NM_054113
SLC26A3_NM_000111	9.361527451	0.31408058	41.64015534	1.1e-10	6.63e-07	SLC26A3	NM_000111
FSCN2_NM_012418	6.415985568	2.77551939	37.89570976	7.46e-10	3.06e-06	FSCN2	NM_012418
FSCN2_NM_001077182	6.396249701	2.776378357	37.86258317	7.59e-10	3.06e-06	FSCN2	NM_001077182
C11orf87_NM_207645	-3.394550851	3.793829066	32.24790756	1.36e-08	4.68e-05	C11orf87	NM_207645
KRT33B_NM_002279	5.13291274	2.186519462	31.61875346	1.88e-08	5.67e-05	KRT33B	NM_002279
C19orf44_NM_032207	3.04155469	3.716118207	30.62036347	3.14e-08	8.42e-05	C19orf44	NM_032207
KRT33A_NM_004138	5.086511552	1.135202965	26.42379126	2.74e-07	0.000662275	KRT33A	NM_004138
EPS15L1_NM_021235	2.302651203	5.345867127	25.57432749	4.26e-07	0.000883697	EPS15L1	NM_021235
CD4_NM_001195014	6.174941575	3.355027506	25.09761283	5.45e-07	0.000883697	CD4	NM_001195014
CD4_NM_001195016	6.20592269	3.354159196	25.08792421	5.48e-07	0.000883697	CD4	NM_001195016
CD4_NM_001195015	6.20599498	3.354228047	25.08732609	5.48e-07	0.000883697	CD4	NM_001195015
CD4_NM_001195017	6.1997868	3.34578658	25.05836479	5.56e-07	0.000883697	CD4	NM_001195017
CD4_NM_000616	6.220019848	3.530337139	24.96014251	5.85e-07	0.000883697	CD4	NM_000616
KRT34_NM_021013	4.104666102	3.430345093	24.68514181	6.75e-07	0.000959251	KRT34	NM_021013
F8_NM_000132	2.848212318	4.381407717	24.27514539	8.35e-07	0.001120793	F8	NM_000132
TBX2_NM_005994	4.024194203	2.604341624	23.51753342	1.24e-06	0.001573838	TBX2	NM_005994
VAT1L_NM_020927	-5.010684237	1.773602398	23.19201261	1.47e-06	0.001770842	VAT1L	NM_020927
GDF6_NM_001001557	-3.502124708	1.927096203	22.41600804	2.2e-06	0.002454247	GDF6	NM_001001557
